,rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,duration_ms,danceability,energy,loudness,instrumentalness,speechiness,tempo
55,56,spotify:track:1wUpbNyIar4OFPM1Fg3R3j,"Tion Wayne, Aitch",Let’s Go (feat. Aitch),Atlantic Records UK,56,-1,1,650831,158746.0,0.671,0.817,-4.008,0.0,0.281,102.153
56,57,spotify:track:0HaRLPnr887lcQM2YQzkff,"Burna Boy, Ed Sheeran",For My Hand (feat. Ed Sheeran),Spaceship/ Bad Habit/Atlantic Records,57,66,14,643618,159124.0,0.87,0.479,-7.779,0.000157,0.165,104.059
57,58,spotify:track:3pBpX15YF0hdlRz2ddfSh2,"Fred again.., Swedish House Mafia, Future",Turn On The Lights again.. (feat. Future),Atlantic Records UK,48,62,11,638026,267947.0,0.683,0.887,-4.944,0.446,0.0497,132.007
58,59,spotify:track:4h4QlmocP3IuwYEj2j14p8,"Nicky Youre, dazy",Sunroof,Thirty Knots/Columbia,43,58,22,631503,163026.0,0.768,0.714,-5.11,0.0,0.0401,131.443
59,60,spotify:track:1DIXPcTDzTj8ZMHt3PDt8p,"Coolio, L.V.",Gangsta's Paradise,"Tommy Boy Music, LLC",40,40,10,625082,240693.0,0.647,0.514,-10.05,0.0,0.0593,79.975
60,61,spotify:track:68Dni7IE4VyPkTOH9mRWHr,J. Cole,No Role Modelz,Roc Nation Records LLC,61,75,98,622816,292799.0,0.69,0.521,-8.492,0.0,0.339,100.028
61,62,spotify:track:4RvWPyQ5RL0ao9LPZeSouE,Tears For Fears,Everybody Wants To Rule The World,UMC (Universal Music Catalogue),47,77,48,621464,251489.0,0.645,0.795,-12.095,0.00389,0.0527,112.067
62,63,spotify:track:7qEHsqek33rTcFNT9PFqLf,Lewis Capaldi,Someone You Loved,Vertigo Berlin,1,68,198,618767,182161.0,0.501,0.405,-5.679,0.0,0.0319,109.891
63,64,spotify:track:7e8utCy2JlSB8dRHKi49xM,Arctic Monkeys,Fluorescent Adolescent,Domino Recording Co,49,49,151,616365,173493.0,0.646,0.813,-5.29,2.26e-05,0.0288,112.115
64,65,spotify:track:58VQMrt5md1pozhyeM3MeG,D-Block Europe,She's Not Anyone,D-Block Europe,41,51,3,614738,197647.0,0.687,0.519,-9.376,0.0,0.353,101.648
65,66,spotify:track:0hquQWY3xvYqN4qtiquniF,Doja Cat,Vegas (From the Original Motion Picture Soundtrack ELVIS),Kemosabe Records/RCA Records,22,60,19,613895,182907.0,0.801,0.601,-7.574,3.23e-05,0.255,159.969
66,67,spotify:track:3z4CGd63tpUn9a6oQSG0CI,"Dave, Burna Boy",Location (feat. Burna Boy),Neighbourhood,9,69,188,613436,241293.0,0.812,0.496,-5.969,0.0,0.297,109.979
67,68,spotify:track:0O6u0VJ46W86TxN9wgyqDj,"Post Malone, Doja Cat",I Like You (A Happier Song) (with Doja Cat),Mercury Records/Republic Records,9,67,19,602155,192841.0,0.733,0.67,-6.009,0.0,0.0751,100.964
68,69,spotify:track:4tRhRLBxIZ34Iw0eCuiC03,southstar,Miss You,Columbia/B1 Recordings,69,-1,1,598661,206385.0,0.663,0.559,-12.876,0.0894,0.0391,145.007
