,rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,duration_ms,danceability,energy,loudness,instrumentalness,speechiness,tempo
150,151,spotify:track:1v7L65Lzy0j0vdpRjJewt1,Eminem,"Lose Yourself - From ""8 Mile"" Soundtrack",Aftermath,88,165,112,423500,322227.0,0.686,0.735,-4.616,0.00066,0.264,171.355
151,152,spotify:track:3GYlZ7tbxLOxe6ewMNVTkw,Billie Eilish,TV,Darkroom/Interscope Records,22,-1,6,422605,281381.0,0.412,0.236,-15.159,0.00653,0.0379,140.214
152,153,spotify:track:7D0RhFcb3CrfPuTJ0obrod,Coldplay,Sparks,Parlophone UK,82,153,9,421748,227093.0,0.371,0.268,-10.506,0.0517,0.0281,102.617
153,154,spotify:track:5xoUgPXbMNUmoHU0Enwtwq,The Kooks,She Moves In Her Own Way,Virgin Records,100,144,166,420009,169307.0,0.41,0.803,-5.363,0.0,0.0623,153.315
154,155,spotify:track:2gMXnyrvIjhVBUZwvLZDMP,Lewis Capaldi,Before You Go,Vertigo Berlin,1,129,118,418474,215107.0,0.459,0.575,-4.858,0.0,0.0573,111.881
155,156,spotify:track:7iL6o9tox1zgHpKUfh9vuC,50 Cent,In Da Club,Shady Records,72,161,36,418274,193467.0,0.899,0.713,-2.752,0.0,0.366,90.051
156,157,spotify:track:1zi7xx7UVEFkmKfv06H8x0,"Drake, Wizkid, Kyla",One Dance,Cash Money Records/Young Money Ent./Universal Rec.,15,166,184,418228,173987.0,0.792,0.625,-5.609,0.0018,0.0536,103.967
157,158,spotify:track:5TXDeTFVRVY7Cvt0Dw4vWW,XXXTENTACION,Revenge,Bad Vibes Forever / EMPIRE,95,194,30,417778,120027.0,0.746,0.251,-16.169,0.00203,0.259,139.999
158,159,spotify:track:3Fzlg5r1IjhLk2qRw667od,Toploader,Dancing in the Moonlight,Sony Soho Square,87,160,184,417355,232693.0,0.632,0.856,-3.463,0.0,0.0348,119.397
159,160,spotify:track:22skzmqfdWrjJylampe0kt,"Macklemore & Ryan Lewis, Macklemore, Ryan Lewis, Ray Dalton",Can't Hold Us (feat. Ray Dalton),Macklemore,98,159,154,415641,258432.0,0.633,0.927,-4.468,0.0,0.0839,146.097
160,161,spotify:track:4svaKoxMMP7ImmKrD5hfQu,Jax,Victoria's Secret,Atlantic Records,129,177,8,414898,176125.0,0.586,0.556,-7.639,0.0,0.0592,167.018
161,162,spotify:track:7mykoq6R3BArsSpNDjFQTm,"Rosa Walton, Hallie Coggins",I Really Want to Stay at Your House,Lakeshore Records,114,120,3,414708,246653.0,0.49,0.738,-7.399,4.58e-06,0.0367,124.966
162,163,spotify:track:0ll8uFnc0nANY35E0Lfxvg,Keane,Somewhere Only We Know,Universal-Island Records Ltd.,151,181,5,414242,236160.0,0.453,0.655,-4.22,7.61e-06,0.0259,172.012
163,164,spotify:track:68EkhVWIeULhHxcbi1QhzK,AJR,World's Smallest Violin,Black Butter,134,157,8,414118,180747.0,0.68,0.697,-7.01,0.0,0.0484,116.033
164,165,spotify:track:3Oww84xrmgjyr5J1ilOmAf,"Luude, Colin Hay",Down Under (feat. Colin Hay),Warner Records,4,162,41,413172,158774.0,0.308,0.86,-4.111,0.000828,0.168,171.835
165,166,spotify:track:3Z7CaxQkqbIs1rewKi6v4W,"Tiësto, Charli XCX",Hot In It,Atlantic Records,50,134,15,408922,129817.0,0.748,0.841,-5.08,1.33e-06,0.177,123.045
166,167,spotify:track:6feiJqgHqeSvkGUzf11AYs,"Becky Hill, David Guetta",Remember (and David Guetta),Polydor Records,6,158,69,408747,161387.0,0.626,0.864,-3.12,0.0,0.0378,123.833
167,168,spotify:track:7gRFDGEzF9UkBV233yv2dc,BLACKPINK,Shut Down,YG Entertainment/Interscope Records,35,113,4,408367,175889.0,0.818,0.69,-5.119,0.0,0.0454,110.071
168,169,spotify:track:5wANPM4fQCJwkGd4rN57mH,Olivia Rodrigo,drivers license,Olivia Rodrigo PS,1,169,92,408349,242013.0,0.561,0.431,-8.81,1.42e-05,0.0578,143.875
169,170,spotify:track:4wVOKKEHUJxHCFFNUWDn0B,"Drake, Giveon",Chicago Freestyle (feat. Giveon),OVO,11,171,49,405323,220488.0,0.735,0.449,-7.507,0.0,0.347,122.947
170,171,spotify:track:3hRV0jL3vUpRrcy398teAU,Lord Huron,The Night We Met,Play It Again Sam,55,167,18,402129,208212.0,0.544,0.369,-9.514,0.279,0.038,87.01
171,172,spotify:track:4bHsxqR3GMrXTxEPLuK5ue,Journey,Don't Stop Believin',Columbia,131,176,169,400453,250987.0,0.5,0.748,-9.072,0.0,0.0363,118.852
172,173,spotify:track:2tpWsVSb9UEmDRxAl1zhX1,OneRepublic,Counting Stars,Mosley / Interscope,135,182,67,399252,257267.0,0.664,0.705,-4.972,0.0,0.0382,122.016
173,174,spotify:track:5UWwZ5lm5PKu6eKsHAGxOk,Foo Fighters,Everlong,RCA Records Label,53,172,9,396269,250547.0,0.413,0.881,-5.541,0.000308,0.0367,158.066
174,175,spotify:track:5T8EDUDqKcs6OSOwEsfqG7,Queen,Don't Stop Me Now - Remastered 2011,EMI,73,189,152,395293,209413.0,0.559,0.868,-5.276,0.000176,0.17,156.295
175,176,spotify:track:3hUxzQpSfdDqwM3ZTFQY0K,Taylor Swift,august,Taylor Swift,22,184,15,394819,261923.0,0.532,0.623,-9.208,7.28e-05,0.0331,89.937
176,177,spotify:track:6I3mqTwhRpn34SLVafSH7G,Justin Bieber,Ghost,RBMG/Def Jam,23,191,55,393750,153190.0,0.601,0.741,-5.569,2.91e-05,0.0478,153.96
177,178,spotify:track:4Of7rzpRpV1mWRbhp5rAqG,Lewis Capaldi,Bruises,Vertigo Berlin,9,152,127,393155,220492.0,0.736,0.308,-7.83,0.0,0.0677,111.202
178,179,spotify:track:7z84Fwf1R3Z2BwHCP620CI,Paramore,This Is Why,Atlantic Records,97,97,2,392226,207652.0,0.723,0.737,-7.566,0.00261,0.0386,123.039
179,180,spotify:track:5uCax9HTNlzGybIStD3vDh,James Arthur,Say You Won't Let Go,Columbia,5,196,259,390606,211467.0,0.358,0.557,-7.398,0.0,0.059,85.043
180,181,spotify:track:5TRPicyLGbAF2LGBFbHGvO,"Kanye West, Dwele",Flashing Lights,Roc-A-Fella,181,186,2,390059,237507.0,0.639,0.628,-7.578,0.0,0.0399,90.482
181,182,spotify:track:0oiv4E896TUTTeQU0cmIui,Drake,Massive,OVO,6,156,17,389896,336924.0,0.499,0.671,-6.774,0.0169,0.0561,124.994
182,183,spotify:track:4hJhHbkhZFnxmWbAkZRoe0,"Fireboy DML, Ed Sheeran",Peru,Universal-Island Records Ltd.,6,175,42,389786,187111.0,0.956,0.417,-7.892,0.00071,0.0926,108.015
183,184,spotify:track:4AFsRbaLKRWo3dDtjDFA2V,Childish Gambino,Me and Your Mama,Glassnote Entertainment Group LLC,105,168,10,389722,379227.0,0.545,0.442,-12.111,0.0271,0.0352,118.073
184,185,spotify:track:3DKCTIiJ97bS9TGiqcABjo,"Dave, AJ Tracey",Thiago Silva,Tropics Records,10,180,107,389292,201964.0,0.667,0.673,-7.574,4e-06,0.323,144.256
185,186,spotify:track:4EWCNWgDS8707fNSZ1oaA5,Kanye West,Heartless,Roc-A-Fella,165,178,8,388848,211000.0,0.79,0.647,-5.983,0.0,0.136,87.999
186,187,spotify:track:01IQ4aQgOf0Kkq3a273hmO,"Dave, Fredo",Funky Friday,Neighbourhood,1,-1,113,388800,182741.0,0.975,0.535,-7.227,0.0,0.196,125.066
187,188,spotify:track:5odlY52u43F5BjByhxg7wg,JVKE,golden hour,JVKE,135,135,2,388363,209260.0,0.515,0.593,-4.801,0.162,0.0322,94.467
188,189,spotify:track:4XvcHTUfIlWfyJTRG0aqlo,Sleepy Hallow,2055,Winners Circle/RCA Records,21,-1,57,387631,123987.0,0.829,0.512,-5.865,0.0,0.187,80.511
189,190,spotify:track:5CZ40GBx1sQ9agT82CLQCT,Olivia Rodrigo,traitor,Olivia Rodrigo PS,6,-1,72,386603,229227.0,0.38,0.339,-7.885,0.0,0.0338,100.607
190,191,spotify:track:7fBv7CLKzipRk6EC6TWHOB,The Weeknd,The Hills,Universal Republic Records,79,192,10,385501,242253.0,0.585,0.564,-7.063,0.0,0.0515,113.003
191,192,spotify:track:4kbj5MwxO1bq9wjT5g9HaA,WALK THE MOON,Shut Up and Dance,RCA Records Label,128,-1,84,382587,199080.0,0.578,0.866,-3.804,0.0,0.0619,128.038
192,193,spotify:track:4u7EnebtmKWzUH433cf5Qv,Queen,Bohemian Rhapsody - Remastered 2011,EMI,30,187,150,382278,354320.0,0.414,0.404,-9.928,0.0,0.0499,71.105
193,194,spotify:track:5e9TFTbltYBg2xThimr0rU,Fleetwood Mac,The Chain - 2004 Remaster,Rhino/Warner Records,74,-1,152,382189,270213.0,0.545,0.67,-8.81,0.000822,0.0496,151.553
194,195,spotify:track:4R2kfaDFhslZEMJqAFNpdd,Taylor Swift,cardigan,Taylor Swift,4,-1,12,380767,239560.0,0.613,0.581,-8.588,0.000345,0.0424,130.033
195,196,spotify:track:4CUX44NA1CPEzd0ibMLQsL,"Belters Only, Jazzy",Make Me Feel Good,Polydor Records,8,174,41,380109,197473.0,0.773,0.74,-8.169,0.00183,0.0386,124.014
196,197,spotify:track:25FTMokYEbEWHEdss5JLZS,Wheatus,Teenage Dirtbag,Columbia,125,183,10,380010,241667.0,0.625,0.85,-3.904,0.000233,0.0495,94.661
197,198,spotify:track:62ke5zFUJN6RvtXZgVH0F8,Paloma Faith,Only Love Can Hurt Like This,RCA Records Label,107,188,26,379052,232893.0,0.566,0.885,-4.528,9.97e-05,0.0818,90.99
198,199,spotify:track:7o2CTH4ctstm8TNelqjb51,Guns N' Roses,Sweet Child O' Mine,Guns N Roses P&D,117,199,13,377365,354520.0,0.454,0.91,-7.766,0.0996,0.0448,125.116
199,200,spotify:track:7DFNE7NO0raLIUbgzY2rzm,Passenger,Let Her Go,Black Crow Records,132,195,90,377262,252867.0,0.509,0.538,-7.335,0.0,0.0572,75.089
