,rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,duration_ms,danceability,energy,loudness,instrumentalness,speechiness,tempo
22,23,spotify:track:6VhuP99TE6gYNQRJIlAWFD,Stephen Sanchez,Until I Found You,Republic Records,23,27,23,15523604,176667.0,0.346,0.5,-6.097,0.0,0.0388,202.466
23,24,spotify:track:31i56LZnwE6uSu3exoHjtB,Bad Bunny,Neverita,Rimas Entertainment LLC,15,20,23,15355691,173119.0,0.876,0.498,-7.511,0.0,0.0478,122.016
24,25,spotify:track:5zwwW9Oq7ubSxoCGyW1nbY,BLACKPINK,Pink Venom,YG Entertainment/Interscope Records,2,16,8,15343777,186964.0,0.693,0.734,-6.189,0.0,0.202,180.06
25,26,spotify:track:6Xom58OOXk2SoU711L2IXO,Bad Bunny,Moscow Mule,Rimas Entertainment LLC,2,23,23,15120031,245940.0,0.804,0.674,-5.453,1.18e-06,0.0333,99.968
26,27,spotify:track:2LBqCSwhJGcFQeTHMVGwy3,The Weeknd,Die For You,Universal Republic Records,26,29,35,14575347,260253.0,0.586,0.525,-7.163,0.0,0.0615,133.629
27,28,spotify:track:0WtM2NBVQNNJLh6scP13H8,"Rema, Selena Gomez",Calm Down (with Selena Gomez),Mavin Records / Jonzing World,28,32,7,14538848,239318.0,0.801,0.806,-5.206,0.000669,0.0381,106.999
28,29,spotify:track:5PjdY0CKGZdEuoNab3yDmX,"The Kid LAROI, Justin Bieber",STAY (with Justin Bieber),Columbia,1,28,66,14298555,141806.0,0.591,0.764,-5.484,0.0,0.0483,169.928
29,30,spotify:track:54ipXppHLA8U4yqpOFTUhr,Imagine Dragons,Bones,Kid Ina Korner / Interscope,30,35,31,13959074,165265.0,0.772,0.75,-3.67,0.0,0.0455,114.061
30,31,spotify:track:5XeFesFbtLpXzIVDNQP22n,Arctic Monkeys,I Wanna Be Yours,Domino Recording Co,31,36,14,13838589,183956.0,0.464,0.417,-9.345,0.022,0.0256,67.528
31,32,spotify:track:5Odq8ohlgIbQKMZivbWkEo,"Charlie Puth, Jung Kook, BTS",Left and Right (Feat. Jung Kook of BTS),Atlantic Records,7,31,16,13707294,154487.0,0.881,0.592,-4.898,1.32e-05,0.0324,101.058
32,33,spotify:track:38T0tPVZHcPZyhtOcCP7pF,Lil Nas X,STAR WALKIN' (League of Legends Worlds Anthem),Columbia,22,26,3,13700987,210576.0,0.637,0.715,-4.971,0.0,0.0455,141.872
33,34,spotify:track:7dSZ6zGTQx66c2GF91xCrb,KAROL G,PROVENZA,UMLE - Latino,6,30,25,13688554,210200.0,0.87,0.516,-8.006,0.00823,0.0541,111.005
34,35,spotify:track:1qEmFfgcLObUfQm0j1W2CK,Harry Styles,Late Night Talking,Columbia,2,37,21,12944126,177955.0,0.714,0.728,-4.595,0.0,0.0468,114.996
35,36,spotify:track:3LtpKP5abr2qqjunvjlX5i,Central Cee,Doja,Central Cee,15,33,12,12923318,97393.0,0.911,0.573,-7.43,0.0,0.288,140.04
36,37,spotify:track:75FEaRjZTKLhTrFGsfMUXR,Kate Bush,Running Up That Hill (A Deal With God),Parlophone UK,1,34,20,12337148,298933.0,0.629,0.547,-13.123,0.00314,0.055,108.375
37,38,spotify:track:79HZAZNnOE97rb2hnI0XQr,"Rauw Alejandro, Lyanno, Brray",LOKERA,Sony Music Latin/Duars Entertainment,38,41,9,12178039,195294.0,0.834,0.828,-2.657,5.91e-06,0.0452,102.019
38,39,spotify:track:2CeKVsFFXG4QzA415QygGb,Feid,Feliz Cumpleaños Ferxxo,UMLE - Latino,39,43,8,12103268,155960.0,0.865,0.573,-5.501,0.0,0.0678,94.999
39,40,spotify:track:4h4QlmocP3IuwYEj2j14p8,"Nicky Youre, dazy",Sunroof,Thirty Knots/Columbia,28,38,23,12058068,163026.0,0.768,0.714,-5.11,0.0,0.0401,131.443
40,41,spotify:track:0O6u0VJ46W86TxN9wgyqDj,"Post Malone, Doja Cat",I Like You (A Happier Song) (with Doja Cat),Mercury Records/Republic Records,10,39,19,12040459,192841.0,0.733,0.67,-6.009,0.0,0.0751,100.964
41,42,spotify:track:6JIC3hbC28JZKZ8AlAqX8h,"Elton John, Dua Lipa, PNAU",Cold Heart - PNAU Remix,EMI,4,42,61,11573760,202735.0,0.795,0.8,-6.32,7.25e-05,0.0309,116.032
42,43,spotify:track:58ge6dfP91o9oXMzq3XkIS,Arctic Monkeys,505,Domino Recording Co,43,44,41,11355668,253587.0,0.52,0.852,-5.866,5.79e-05,0.0543,140.267
43,44,spotify:track:0VjIjW4GlUZAMYd2vXMi3b,The Weeknd,Blinding Lights,Republic Records,1,48,150,11343127,200040.0,0.514,0.73,-5.934,9.54e-05,0.0598,171.005
44,45,spotify:track:7iwJOi3hlMqZt6pj1sQOBj,Quevedo,VISTA AL MAR,Quevedo,45,46,5,11280517,180673.0,0.759,0.561,-5.643,0.121,0.131,104.915
45,46,spotify:track:6HMtHNpW6YPi1hrw9tgF8P,Lizzo,About Damn Time,Nice Life/Atlantic,9,45,24,11041913,191938.0,0.836,0.743,-6.305,0.0,0.0653,108.965
46,47,spotify:track:0kTMK4gNFfLXaTb62w1UaJ,"Pablito Pesadilla, Polimá Westcoast, Nickoog Clk, Fran C",BABY OTAKU,BZR Music,47,52,3,11010255,176471.0,0.835,0.747,-4.65,0.0,0.083,102.003
47,48,spotify:track:5JhUm1v5AbI5Yu6jLKCPRO,Grupo Frontera,No Se Va - En Vivo,Grupo Frontera,48,54,3,10549475,194019.0,0.594,0.527,-9.335,0.0,0.0335,172.712
48,49,spotify:track:2eAvDnpXP5W0cVtiI0PUxV,Ruth B.,Dandelions,Columbia,34,57,61,10543002,233720.0,0.609,0.692,-2.958,0.0,0.0259,116.959
49,50,spotify:track:1cKHdTo9u0ZymJdPGSh6nq,"The Weeknd, Gesaffelstein",I Was Never There,Universal Republic Records,17,56,19,10491812,241067.0,0.323,0.737,-4.008,0.000162,0.0338,113.26
50,51,spotify:track:6i1g5ZRmJZAkDwBaUZ3f2i,Luar La L,Caile,La Mafia Urbana Corp.,32,50,9,10454157,141340.0,0.704,0.756,-4.948,3.75e-06,0.448,121.737
51,52,spotify:track:3F5CgOj3wFlRv51JsHbxhe,"Drake, 21 Savage",Jimmy Cooks (feat. 21 Savage),OVO,7,53,17,10445394,218365.0,0.529,0.673,-4.711,2.41e-06,0.175,165.921
52,53,spotify:track:41oY4WCTj5kccfesTVFnvN,"Bad Bunny, Jhayco",Tarot,Rimas Entertainment LLC,9,47,23,10404705,237895.0,0.795,0.684,-3.971,0.0,0.0419,114.011
53,54,spotify:track:2TktkzfozZifbQhXjT6I33,Omar Apollo,Evergreen (You Didn’t Deserve Me At All),Warner Records,54,55,4,10401037,216680.0,0.697,0.336,-10.395,0.00528,0.0424,82.029
54,55,spotify:track:7wdwIaXUuzlu1grzWMFRJm,Ghost,Mary On A Cross,UME - Global Clearing House,36,49,9,10292407,244804.0,0.467,0.9,-4.505,0.000493,0.0451,130.027
55,56,spotify:track:39JofJHEtg8I4fSyo7Imft,"Eliza Rose, Interplanetary Criminal",B.O.T.A. (Baddest Of Them All) - Edit,Warner Records,52,58,6,10272283,226627.0,0.736,0.906,-7.589,0.585,0.048,137.001
56,57,spotify:track:5TJEBoTCDbJXiKMdCN9pd3,"Elton John, Britney Spears",Hold Me Closer,EMI,25,60,7,10249417,202246.0,0.659,0.772,-4.595,0.000346,0.11,126.018
57,58,spotify:track:7DbdUf8aHSYoliSjO6LZv6,Beach Weather,"Sex, Drugs, Etc.",8123 / Arista Records,58,63,9,10126690,196784.0,0.572,0.839,-5.083,0.00976,0.0377,143.969
58,59,spotify:track:6I3mqTwhRpn34SLVafSH7G,Justin Bieber,Ghost,RBMG/Def Jam,11,62,56,10053418,153190.0,0.601,0.741,-5.569,2.91e-05,0.0478,153.96
59,60,spotify:track:5odlY52u43F5BjByhxg7wg,JVKE,golden hour,JVKE,51,51,7,9988787,209260.0,0.515,0.593,-4.801,0.162,0.0322,94.467
60,61,spotify:track:1ga4PztXOIw1yBbdUt2X8v,"KAROL G, Maldy",GATÚBELA,UMLE - Latino,33,59,7,9958195,209160.0,0.627,0.858,-2.824,0.0,0.386,92.523
61,62,spotify:track:1DIXPcTDzTj8ZMHt3PDt8p,"Coolio, L.V.",Gangsta's Paradise,"Tommy Boy Music, LLC",40,40,50,9936820,240693.0,0.647,0.514,-10.05,0.0,0.0593,79.975
62,63,spotify:track:1Fid2jjqsHViMX6xNH70hE,Seafret,Atlantis,Sweet Jane Recordings,63,64,12,9731262,229173.0,0.4,0.479,-7.989,2.14e-06,0.0308,166.159
63,64,spotify:track:3WMj8moIAXJhHsyLaqIIHI,Zach Bryan,Something in the Orange,Warner Records,64,99,5,9671675,228013.0,0.369,0.192,-12.151,8.35e-06,0.04,175.212
64,65,spotify:track:7MXVkk9YMctZqd1Srtv4MB,"The Weeknd, Daft Punk",Starboy,Universal Republic Records,1,65,106,9664721,230453.0,0.679,0.587,-7.015,6.35e-06,0.276,186.003
65,66,spotify:track:4tYFy8ALRjIZvnvSLw5lxN,"Bad Bunny, Rauw Alejandro",Party,Rimas Entertainment LLC,6,61,23,9391974,227629.0,0.829,0.799,-5.389,0.000543,0.0897,97.013
66,67,spotify:track:27ZZdyTSQWI7Cug2d2PkqV,Armani White,BILLIE EILISH.,"Legendbound, LLC / Def Jam Recordings",67,73,7,9374257,99283.0,0.9,0.509,-6.647,1.67e-06,0.257,100.007
67,68,spotify:track:3EaJDYHA0KnX88JvDhL9oa,Steve Lacy,Dark Red,Three Quarter,66,72,62,9260642,173104.0,0.603,0.784,-4.023,8.32e-06,0.062,172.041
68,69,spotify:track:4zN21mbAuaD0WqtmaTZZeP,"James Hype, Miggy Dela Rosa",Ferrari,Universal-Island Records Ltd.,34,67,19,9257903,186662.0,0.847,0.69,-7.877,6e-05,0.0493,125.004
69,70,spotify:track:0hquQWY3xvYqN4qtiquniF,Doja Cat,Vegas (From the Original Motion Picture Soundtrack ELVIS),Kemosabe Records/RCA Records,26,70,19,9230758,182907.0,0.801,0.601,-7.574,3.23e-05,0.255,159.969
70,71,spotify:track:1Ame8XTX6QHY0l0ahqUhgv,Måneskin,THE LONELIEST,Epic,71,-1,1,9226973,247067.0,0.519,0.595,-5.001,0.0,0.0283,129.786
71,72,spotify:track:3AJwUDP919kvQ9QcozQPxg,Coldplay,Yellow,Parlophone UK,56,74,95,9216099,266773.0,0.429,0.661,-7.227,0.000121,0.0281,173.372
72,73,spotify:track:58HvfVOeJY7lUuCqF0m3ly,Elley Duhé,MIDDLE OF THE NIGHT,Not Fit For Society/RCA Records,11,77,42,9192819,184448.0,0.41,0.611,-8.271,0.0,0.0467,185.727
73,74,spotify:track:2DB4DdfCFMw1iaR6JaR03a,"Camila Cabello, Ed Sheeran",Bam Bam (feat. Ed Sheeran),Epic,5,69,32,9139135,206071.0,0.756,0.697,-6.377,0.0,0.0401,94.996
74,75,spotify:track:2rurDawMfoKP4uHyb2kJBt,"Shakira, Rauw Alejandro",Te Felicito,Sony Music Latin,13,66,25,9082605,172235.0,0.695,0.636,-4.654,0.0,0.317,174.14
75,76,spotify:track:09mEdoA6zrmBPgTEN5qXmN,The Weeknd,Call Out My Name,Universal Republic Records,1,76,51,9052839,228373.0,0.461,0.593,-4.954,0.0,0.0356,134.17
76,77,spotify:track:3CIyK1V4JEJkg02E4EJnDl,"Imagine Dragons, JID, Arcane, League of Legends",Enemy (with JID) - from the series Arcane League of Legends,Kid Ina Korner / Interscope,3,82,50,9045881,173381.0,0.728,0.783,-4.424,0.0,0.266,77.011
77,78,spotify:track:0u2P5u6lvoDfwTYjAADbn4,"Billie Eilish, Khalid",lovely (with Khalid),Darkroom,24,81,234,9022876,200186.0,0.351,0.296,-10.109,0.0,0.0333,115.284
78,79,spotify:track:0HYAsQwJIO6FLqpyTeD3l6,Fujii Kaze,Shinunoga E-Wa,Universal Music LLC,72,75,6,8988966,185573.0,0.6,0.76,-6.123,4.07e-05,0.0451,158.075
79,80,spotify:track:1797zYiX4cKosMH836X9Gt,"Bad Bunny, Tony Dize",La Corriente,Rimas Entertainment LLC,17,68,23,8915978,198367.0,0.663,0.786,-3.51,0.0,0.195,196.12
80,81,spotify:track:5QO79kh1waicV47BqGRL3g,The Weeknd,Save Your Tears,Republic Records,2,86,97,8883334,215627.0,0.68,0.826,-5.487,1.24e-05,0.0309,118.051
81,82,spotify:track:5QM0SsyzmBM0pbFY52Xj1X,Sam Smith,I'm Not The Only One,Capitol,82,89,12,8866840,239317.0,0.677,0.485,-5.795,2.04e-05,0.0361,82.001
82,83,spotify:track:59nOXPmaKlBfGMDeOVGrIK,"Future, Drake, Tems",WAIT FOR U (feat. Drake & Tems),Epic/Freebandz,10,83,24,8797868,189893.0,0.463,0.642,-4.474,0.0,0.34,83.389
83,84,spotify:track:7ef4DlsgrMEH11cDZd32M6,"Calvin Harris, Dua Lipa",One Kiss (with Dua Lipa),Sony Music UK,2,79,92,8769671,214847.0,0.791,0.862,-3.24,2.19e-05,0.11,123.994
84,85,spotify:track:6qyS9qBy0mEk3qYaH8mPss,Kordhell,Murder In My Mind,Kordhell,85,93,9,8702716,145000.0,0.712,0.972,-0.514,7.06e-05,0.112,119.966
85,86,spotify:track:73vIOb4Q7YN6HeJTbscRx5,"Oliver Tree, Robin Schulz",Miss You,Atlantic Records,86,-1,1,8697859,206000.0,0.587,0.742,-6.64,0.00107,0.0529,145.007
86,87,spotify:track:6FYfhKknpt05Om6YPcEYAg,girl in red,we fell in love in october,world in red,78,78,6,8651934,184154.0,0.566,0.366,-12.808,0.181,0.028,129.96
87,88,spotify:track:6UelLqGlWMcVH1E5c4H7lY,Harry Styles,Watermelon Sugar,Columbia,4,90,152,8603894,174000.0,0.548,0.816,-4.209,0.0,0.0465,95.39
88,89,spotify:track:3AVrVz5rK8Hrqo9YGiVGN5,Cigarettes After Sex,Apocalypse,Partisan Records,89,91,14,8462922,290147.0,0.369,0.467,-9.018,0.46,0.0274,94.473
89,90,spotify:track:3xWGA8pa0IKFI7IMPri4P0,Ed Sheeran,Shivers,Atlantic Records UK,4,88,57,8439151,207853.0,0.788,0.859,-2.724,0.0,0.0856,141.02
90,91,spotify:track:3fjN3y5x4hN53rykAN2LHQ,Rels B,cómo dormiste?,Flakk Team / DALE PLAY Records,24,85,10,8426072,112572.0,0.627,0.429,-8.255,0.0,0.234,126.426
91,92,spotify:track:5Z9KJZvQzH6PFmb8SNkxuk,"Lil Nas X, Jack Harlow",INDUSTRY BABY (feat. Jack Harlow),Columbia,2,87,64,8425877,212353.0,0.741,0.691,-7.395,0.0,0.0672,150.087
92,93,spotify:track:5jt25aFjW2kNoBqaEVaz5W,"Mora, Feid",LA INOCENTE,Rimas Entertainment LLC,74,92,15,8405688,202174.0,0.757,0.789,-3.46,0.0,0.0583,91.911
93,94,spotify:track:4UMIv5jd9gK98a39BQRD9X,"Pritam, Arijit Singh, Amitabh Bhattacharya",Kesariya,Sony Music Entertainment India Pvt. Ltd.,33,71,13,8260048,268165.0,0.577,0.574,-6.525,0.0,0.0278,94.009
94,95,spotify:track:1klq7dgG1Pz0ijci5Pmae1,Stray Kids,CASE 143,Republic Records - Stray Kids,95,-1,1,8198221,191965.0,0.801,0.885,-2.627,0.0,0.237,100.073
95,96,spotify:track:68Dni7IE4VyPkTOH9mRWHr,J. Cole,No Role Modelz,Roc Nation Records LLC,76,105,64,8180499,292799.0,0.69,0.521,-8.492,0.0,0.339,100.028
96,97,spotify:track:3sNVsP50132BTNlImLx70i,Kanye West,Bound 2,Rock The World/IDJ/Kanye/LP6,77,95,6,8125971,229147.0,0.367,0.665,-2.821,0.0,0.0465,148.913
