,rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,duration_ms,danceability,energy,loudness,instrumentalness,speechiness,tempo
127,128,spotify:track:0wHFktze2PHC5jDt3B17DC,Jack Harlow,First Class,Generation Now/Atlantic,2,115,27,7249243,173948.0,0.902,0.582,-5.902,3.18e-06,0.109,107.005
128,129,spotify:track:7fBv7CLKzipRk6EC6TWHOB,The Weeknd,The Hills,Universal Republic Records,52,124,59,7241218,242253.0,0.585,0.564,-7.063,0.0,0.0515,113.003
129,130,spotify:track:5wANPM4fQCJwkGd4rN57mH,Olivia Rodrigo,drivers license,Olivia Rodrigo PS,1,127,92,7229592,242013.0,0.561,0.431,-8.81,1.42e-05,0.0578,143.875
130,131,spotify:track:5hnGrTBaEsdukpDF6aZg8a,Dean Lewis,How Do I Say Goodbye,Universal Music Australia Pty. Ltd.,131,182,2,7229369,163603.0,0.4,0.641,-6.303,0.0,0.0674,81.552
131,132,spotify:track:1u8c2t2Cy7UBoG4ArRcF5g,Taylor Swift,Blank Space,"Big Machine Records, LLC",113,133,49,7226370,231827.0,0.76,0.703,-5.412,0.0,0.054,95.997
132,133,spotify:track:5O2P9iiztwhomNh8xkR9lJ,One Direction,Night Changes,Syco Music,108,129,20,7181760,226600.0,0.672,0.52,-7.747,0.0,0.0353,120.001
133,134,spotify:track:4ZtFanR9U6ndgddUvNcjcG,Olivia Rodrigo,good 4 u,Olivia Rodrigo PS,1,125,74,7173626,178147.0,0.563,0.664,-5.044,0.0,0.154,166.928
134,135,spotify:track:1mea3bSkSGXuIRvnydlB5b,Coldplay,Viva La Vida,Parlophone UK,129,143,7,7143546,242373.0,0.486,0.617,-7.115,3.23e-06,0.0287,138.015
135,136,spotify:track:0tgVpDi06FyKpA1z0VMD4v,Ed Sheeran,Perfect,Atlantic Records UK,4,122,291,7139770,263400.0,0.599,0.448,-6.312,0.0,0.0232,95.05
136,137,spotify:track:3yfqSUWxFvZELEM4PmlwIR,Eminem,The Real Slim Shady,Interscope,51,137,71,7138075,284200.0,0.949,0.661,-4.244,0.0,0.0572,104.504
137,138,spotify:track:7FlQk2gJ6TBrHHiidvdR2O,"Becky G, KAROL G",MAMIII,Kemosabe Records/RCA Records,5,116,35,7110691,226093.0,0.836,0.703,-3.554,0.0,0.0657,94.048
138,139,spotify:track:1oFAF1hdPOickyHgbuRjyX,"The Weeknd, Ariana Grande",Save Your Tears (Remix) (with Ariana Grande) - Bonus Track,XO / Republic Records,5,142,77,7109972,191014.0,0.65,0.825,-4.645,2.44e-05,0.0325,118.091
139,140,spotify:track:2J2Z1SkXYghSajLibnQHOa,Sia,Unstoppable,Monkey Puzzle Records/RCA Records,107,140,35,7083640,217747.0,0.468,0.779,-4.839,0.000373,0.0779,173.799
140,141,spotify:track:62ke5zFUJN6RvtXZgVH0F8,Paloma Faith,Only Love Can Hurt Like This,RCA Records Label,93,128,21,7054218,232893.0,0.566,0.885,-4.528,9.97e-05,0.0818,90.99
141,142,spotify:track:4OmfWzukSVD140NiAIEjem,Steve Lacy,Static,L-M Records/RCA Records,128,136,5,7041203,156507.0,0.335,0.305,-12.661,0.631,0.0741,79.001
142,143,spotify:track:3BnDvpeuGOj21Ir2aVEtQo,Rema,Calm Down,Mavin Records / Jonzing World,119,146,14,6974524,219669.0,0.814,0.789,-6.29,0.000502,0.0405,107.003
143,144,spotify:track:3uUuGVFu1V7jTQL60S1r8z,"Lost Frequencies, Calum Scott",Where Are You Now,Epic Amsterdam,18,139,58,6965526,148197.0,0.671,0.636,-8.117,0.000411,0.103,120.966
144,145,spotify:track:4ASA1PZyWGbuc4d9N8OAcF,"Gustavo Mioto, Mari Fernandez",Eu Gosto Assim - Ao Vivo,Universal Music Ltda.,145,-1,1,6963603,148800.0,0.636,0.909,-3.685,0.0,0.0439,154.189
